Property Type,District,Mukim,Scheme Name/Area,Road Name,"Month, Year of Transaction Date",Tenure,Land/Parcel Area,Unit,Main Floor Area,Unit        ,Unit Level,Transaction Price  ,Unnamed: 13,address,latitude,longitude
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,JALAN KESUMA 2/6A,August 2024,Freehold,111.00,sq.m,99,sq.m,    ,"RM622,000.00",,JALAN KESUMA 2/6A KESUMA SQUARE Beranang Hulu Langat Malaysia,2.8765,101.8958
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,JLN KESUMA 2/4,April 2024,Freehold,111.00,sq.m,111,sq.m,    ,"RM622,000.00",,JLN KESUMA 2/4 KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9025,101.8736
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,JLN KESUMA 2/4,June 2024,Freehold,111.00,sq.m,111,sq.m,    ,"RM622,000.00",,JLN KESUMA 2/4 KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9025,101.8736
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,JLN KESUMA 2/4,July 2024,Freehold,111.00,sq.m,111,sq.m,    ,"RM596,000.00",,JLN KESUMA 2/4 KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9025,101.8736
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,KESUMA SQUARE,February 2024,Freehold,111.00,sq.m,99,sq.m,    ,"RM596,000.00",,KESUMA SQUARE KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9848,101.8809
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,KESUMA SQUARE,February 2024,Freehold,111.00,sq.m,99,sq.m,    ,"RM622,000.00",,KESUMA SQUARE KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9848,101.8809
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,KESUMA SQUARE,April 2024,Freehold,111.00,sq.m,99,sq.m,    ,"RM622,000.00",,KESUMA SQUARE KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9848,101.8809
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,KESUMA SQUARE,May 2024,Freehold,111.00,sq.m,99,sq.m,    ,"RM596,000.00",,KESUMA SQUARE KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9848,101.8809
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,KESUMA SQUARE,June 2024,Freehold,111.00,sq.m,99,sq.m,    ,"RM634,000.00",,KESUMA SQUARE KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9848,101.8809
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,KESUMA SQUARE,July 2024,Freehold,111.00,sq.m,99,sq.m,    ,"RM596,000.00",,KESUMA SQUARE KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9848,101.8809
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,KESUMA SQUARE,August 2024,Freehold,111.00,sq.m,99,sq.m,    ,"RM596,000.00",,KESUMA SQUARE KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9848,101.8809
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,KESUMA SQUARE,August 2024,Freehold,111.00,sq.m,99,sq.m,    ,"RM634,000.00",,KESUMA SQUARE KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9848,101.8809
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,KESUMA SQUARE,September 2024,Freehold,111.00,sq.m,99,sq.m,    ,"RM596,000.00",,KESUMA SQUARE KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9848,101.8809
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,KESUMA SQUARE,September 2024,Freehold,111.00,sq.m,99,sq.m,    ,"RM622,000.00",,KESUMA SQUARE KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9848,101.8809
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,KESUMA SQUARE,November 2024,Freehold,111.00,sq.m,99,sq.m,    ,"RM596,000.00",,KESUMA SQUARE KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9848,101.8809
